	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[2]	92	0.3138	0.1800	0.5706	0.7603	0.2843	0.4835	55.8474	0.1995	
nMMSBM_[2]	93	0.3139	0.1692	0.5704	0.7608	0.2837	0.4838	55.8591	0.1995	
nMMSBM_[2]	94	0.3118	0.1801	0.5703	0.7612	0.2834	0.4839	55.6295	0.1987	
nMMSBM_[2]	95	0.3139	0.1821	0.5710	0.7617	0.2846	0.4845	55.9478	0.1998	
nMMSBM_[2]	96	0.3113	0.1682	0.5704	0.7614	0.2838	0.4843	55.4775	0.1981	
nMMSBM_[2]	97	0.3126	0.1823	0.5701	0.7611	0.2847	0.4840	55.4735	0.1981	
nMMSBM_[2]	98	0.3117	0.1813	0.5698	0.7624	0.2840	0.4837	55.5372	0.1983	
nMMSBM_[2]	99	0.3119	0.1794	0.5683	0.7619	0.2830	0.4834	55.6894	0.1989	
KNN_[2]	0	0.2347	0.1414	0.3901	0.6131	0.2230	0.2931	214.5837	0.7664	
Rand_[2]	0	0.1607	0.0047	0.0116	0.4981	0.1017	0.0348	198.1099	0.7075	
NB_[3]	0	0.2600	0.0097	0.1618	0.7054	0.2389	0.2036	85.6294	0.3058	
NMF_[3]	0	0.1606	0.0047	0.0293	0.5368	0.2158	0.2321	82.8535	0.2959	
PF_[3]	0	0.3440	0.1790	0.5836	0.8067	0.3068	0.5055	47.3896	0.1692	
TF_[3]	0	0.1607	0.0052	0.1003	0.5605	0.1777	0.1370	143.3169	0.5118	
BL_[3]	0	0.1607	0.0052	0.1003	0.5000	0.1026	0.2464	79.3421	0.2834	
nMMSBM_[3]	0	0.3230	0.1913	0.5803	0.7688	0.2907	0.4953	55.7208	0.1990	
nMMSBM_[3]	1	0.3233	0.1908	0.5794	0.7673	0.2896	0.4946	55.0374	0.1966	
nMMSBM_[3]	2	0.3217	0.1897	0.5783	0.7667	0.2889	0.4932	55.6311	0.1987	
nMMSBM_[3]	3	0.3238	0.1762	0.5794	0.7685	0.2915	0.4944	55.0204	0.1965	
nMMSBM_[3]	4	0.3205	0.1764	0.5774	0.7655	0.2893	0.4925	55.8688	0.1995	
nMMSBM_[3]	5	0.3220	0.1762	0.5785	0.7669	0.2900	0.4934	55.8474	0.1995	
nMMSBM_[3]	6	0.3215	0.1743	0.5785	0.7673	0.2901	0.4936	55.6271	0.1987	
nMMSBM_[3]	7	0.3235	0.1770	0.5788	0.7669	0.2902	0.4939	55.6992	0.1989	
nMMSBM_[3]	8	0.3206	0.1847	0.5779	0.7644	0.2881	0.4926	55.8476	0.1995	
nMMSBM_[3]	9	0.3210	0.1715	0.5784	0.7656	0.2880	0.4932	54.9656	0.1963	
nMMSBM_[3]	10	0.3227	0.1781	0.5791	0.7657	0.2896	0.4942	55.3145	0.1976	
nMMSBM_[3]	11	0.3205	0.1865	0.5789	0.7647	0.2884	0.4930	55.4751	0.1981	
nMMSBM_[3]	12	0.3233	0.1786	0.5786	0.7665	0.2903	0.4944	55.8693	0.1995	
nMMSBM_[3]	13	0.3223	0.1866	0.5787	0.7648	0.2873	0.4932	55.7474	0.1991	
nMMSBM_[3]	14	0.3234	0.1886	0.5794	0.7679	0.2897	0.4946	55.2690	0.1974	
nMMSBM_[3]	15	0.3225	0.1752	0.5767	0.7658	0.2901	0.4925	55.8595	0.1995	
