	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[2]	92	0.3132	0.3253	0.3356	0.7636	0.2529	0.4510	66.0042	0.0892	
nMMSBM_[2]	93	0.3229	0.3306	0.3413	0.7664	0.2592	0.4562	64.0776	0.0866	
nMMSBM_[2]	94	0.3133	0.3193	0.3354	0.7705	0.2565	0.4528	70.3098	0.0950	
nMMSBM_[2]	95	0.3191	0.3269	0.3297	0.7632	0.2522	0.4477	71.4398	0.0965	
nMMSBM_[2]	96	0.3079	0.3250	0.3297	0.7637	0.2524	0.4487	67.6229	0.0914	
nMMSBM_[2]	97	0.3151	0.3296	0.3369	0.7647	0.2527	0.4552	72.2798	0.0977	
nMMSBM_[2]	98	0.3114	0.3218	0.3307	0.7689	0.2553	0.4531	63.2159	0.0854	
nMMSBM_[2]	99	0.3083	0.3227	0.3359	0.7640	0.2510	0.4532	65.5390	0.0886	
KNN_[2]	0	0.2936	0.2528	0.2751	0.7029	0.2213	0.3819	391.2090	0.5287	
Rand_[2]	0	0.0262	0.0651	0.0009	0.5009	0.0143	0.0742	349.3028	0.4720	
NB_[3]	0	0.0463	0.0731	0.0846	0.7005	0.0576	0.2264	56.4626	0.0763	
NMF_[3]	0	0.0371	0.1024	0.0658	0.5650	0.0403	0.1762	189.2462	0.2557	
PF_[3]	0	0.4999	0.4407	0.4199	0.7474	0.3719	0.5007	335.9766	0.4540	
TF_[3]	0	0.0262	0.0651	0.0042	0.4805	0.0159	0.0962	114.7233	0.1550	
BL_[3]	0	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7228	0.0969	
nMMSBM_[3]	0	0.3204	0.3102	0.3196	0.7360	0.2607	0.4363	80.3667	0.1086	
nMMSBM_[3]	1	0.3227	0.3112	0.3235	0.7381	0.2581	0.4391	77.9233	0.1053	
nMMSBM_[3]	2	0.3222	0.3105	0.3182	0.7395	0.2581	0.4347	79.1478	0.1070	
nMMSBM_[3]	3	0.3271	0.3104	0.3190	0.7401	0.2596	0.4334	81.1774	0.1097	
nMMSBM_[3]	4	0.3244	0.3095	0.3225	0.7403	0.2650	0.4384	82.7812	0.1119	
nMMSBM_[3]	5	0.3298	0.3143	0.3253	0.7500	0.2670	0.4425	67.8723	0.0917	
nMMSBM_[3]	6	0.3218	0.3076	0.3156	0.7321	0.2619	0.4339	75.4288	0.1019	
nMMSBM_[3]	7	0.3246	0.3056	0.3187	0.7337	0.2586	0.4349	80.8381	0.1092	
nMMSBM_[3]	8	0.3260	0.3129	0.3218	0.7323	0.2607	0.4352	78.0742	0.1055	
nMMSBM_[3]	9	0.3230	0.3141	0.3221	0.7377	0.2587	0.4385	83.9157	0.1134	
nMMSBM_[3]	10	0.3205	0.3049	0.3172	0.7301	0.2586	0.4318	78.1774	0.1056	
nMMSBM_[3]	11	0.3289	0.3084	0.3199	0.7417	0.2593	0.4344	90.2216	0.1219	
nMMSBM_[3]	12	0.3222	0.3050	0.3218	0.7338	0.2594	0.4386	81.5187	0.1102	
