	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 2]	58	0.2546	0.0721	0.1514	0.5046	0.1520	0.3509	3.8525	0.3852	
nMMSBM_[1, 2]	59	0.2546	0.0518	0.1032	0.5025	0.1523	0.2821	4.9290	0.4929	
nMMSBM_[1, 2]	60	0.2546	0.0278	0.0699	0.5019	0.1517	0.2509	5.0121	0.5012	
nMMSBM_[1, 2]	61	0.2546	0.0559	0.1063	0.4984	0.1504	0.2929	4.6090	0.4609	
nMMSBM_[1, 2]	62	0.2546	0.0644	0.1396	0.4997	0.1516	0.3338	4.1961	0.4196	
nMMSBM_[1, 2]	63	0.2546	0.0626	0.1448	0.5003	0.1512	0.3458	3.8868	0.3887	
nMMSBM_[1, 2]	64	0.2546	0.0439	0.0856	0.5005	0.1511	0.2786	4.6029	0.4603	
nMMSBM_[1, 2]	65	0.2546	0.0376	0.0932	0.5020	0.1520	0.2986	4.2448	0.4245	
nMMSBM_[1, 2]	66	0.2546	0.0354	0.0948	0.5044	0.1525	0.2882	4.6391	0.4639	
nMMSBM_[1, 2]	67	0.2546	0.0260	0.0627	0.5008	0.1512	0.2456	5.0555	0.5055	
nMMSBM_[1, 2]	68	0.2546	0.0568	0.0813	0.4955	0.1489	0.2721	4.6806	0.4681	
nMMSBM_[1, 2]	69	0.2546	0.0757	0.1504	0.5026	0.1513	0.3661	3.5088	0.3509	
nMMSBM_[1, 2]	70	0.2546	0.0375	0.0932	0.4978	0.1490	0.2879	4.5339	0.4534	
nMMSBM_[1, 2]	71	0.2546	0.0878	0.1813	0.4991	0.1512	0.3967	3.3381	0.3338	
nMMSBM_[1, 2]	72	0.2546	0.0432	0.0928	0.4945	0.1488	0.3004	4.1867	0.4187	
nMMSBM_[1, 2]	73	0.2546	0.0604	0.1362	0.5062	0.1545	0.3436	3.7897	0.3790	
nMMSBM_[1, 2]	74	0.2546	0.0421	0.0852	0.4979	0.1500	0.2697	4.8886	0.4889	
nMMSBM_[1, 2]	75	0.2546	0.0317	0.0834	0.5025	0.1515	0.2702	4.7222	0.4722	
nMMSBM_[1, 2]	76	0.2546	0.0410	0.1053	0.4995	0.1526	0.3038	4.3396	0.4340	
nMMSBM_[1, 2]	77	0.2546	0.0573	0.1213	0.4995	0.1504	0.3205	4.2172	0.4217	
nMMSBM_[1, 2]	78	0.2546	0.0601	0.1238	0.4976	0.1497	0.3147	4.4185	0.4418	
nMMSBM_[1, 2]	79	0.2546	0.0410	0.0911	0.5035	0.1529	0.2763	4.7363	0.4736	
nMMSBM_[1, 2]	80	0.2546	0.0497	0.1010	0.4992	0.1505	0.2905	4.7701	0.4770	
nMMSBM_[1, 2]	81	0.2546	0.0899	0.1211	0.4997	0.1494	0.2994	4.5765	0.4577	
nMMSBM_[1, 2]	82	0.2546	0.0529	0.1332	0.5020	0.1516	0.3377	3.9495	0.3949	
nMMSBM_[1, 2]	83	0.2546	0.0235	0.0512	0.4992	0.1500	0.2352	5.1674	0.5167	
nMMSBM_[1, 2]	84	0.2546	0.0517	0.0940	0.5012	0.1513	0.2900	4.4480	0.4448	
nMMSBM_[1, 2]	85	0.2546	0.0279	0.0621	0.5020	0.1516	0.2443	5.1479	0.5148	
nMMSBM_[1, 2]	86	0.2546	0.0323	0.0737	0.5012	0.1508	0.2456	5.4089	0.5409	
nMMSBM_[1, 2]	87	0.2546	0.0485	0.0905	0.4984	0.1506	0.2813	4.5607	0.4561	
nMMSBM_[1, 2]	88	0.2546	0.0358	0.0890	0.5023	0.1513	0.2859	4.3642	0.4364	
nMMSBM_[1, 2]	89	0.2546	0.0360	0.0878	0.4983	0.1504	0.2855	4.5329	0.4533	
nMMSBM_[1, 2]	90	0.2546	0.0316	0.0717	0.4999	0.1504	0.2709	4.5745	0.4575	
nMMSBM_[1, 2]	91	0.2546	0.0309	0.0732	0.4974	0.1498	0.2741	4.5174	0.4517	
nMMSBM_[1, 2]	92	0.2546	0.0593	0.1249	0.4993	0.1499	0.3072	4.6469	0.4647	
nMMSBM_[1, 2]	93	0.2546	0.0552	0.1301	0.5030	0.1510	0.3441	3.6942	0.3694	
nMMSBM_[1, 2]	94	0.2546	0.0641	0.1088	0.4976	0.1491	0.2967	4.6924	0.4692	
nMMSBM_[1, 2]	95	0.2546	0.0679	0.1290	0.4971	0.1497	0.3404	3.6947	0.3695	
nMMSBM_[1, 2]	96	0.2546	0.0308	0.0622	0.5007	0.1506	0.2297	5.6465	0.5647	
nMMSBM_[1, 2]	97	0.2546	0.0651	0.1489	0.4941	0.1483	0.3521	3.7893	0.3789	
nMMSBM_[1, 2]	98	0.2546	0.0397	0.0840	0.4992	0.1522	0.2671	4.8699	0.4870	
nMMSBM_[1, 2]	99	0.2546	0.0399	0.0759	0.4930	0.1474	0.2628	4.8863	0.4886	
KNN_[1, 2]	0	0.2578	0.1221	0.1899	0.5489	0.1679	0.3290	5.3280	0.5328	
Rand_[1, 2]	0	0.2546	0.0292	0.1003	0.5011	0.1517	0.2936	4.4892	0.4489	
